Title,Year,Release Date,Release Day,Season,Studio,Story,Genre,Budget Bucket,Rotten Tomatoes %,Audience  score %,Box Office Average per US Cinema (Opening Weekend) ($),Domestic Gross ($m),Foreign Gross ($m),Worldwide Gross ($m),Budget ($m),Profitability (% of Budget),Random ($m),Net Profit ($m),Opening Weekend ($m),Price per Movie
Take Me Home Tonight,2020,2020-10-07,Friday,Fall,Relativity,Discovery,Comedy,< 50,28%,46%,"$1,730",$6.93,,$6.93,$25.00,27.72%,$376.00,-$18.07,$3.46,"$2,800.00"
Another Earth,2020,2020-10-07,Friday,Fall,Independent,Temptation,Fantasy,< 50,63%,74%,,$1.32,$0.45,$1.77,$0.20,885.00%,"$2,320.00",$1.57,$0.08,"$6,300.00"
The Son Of No One,2020,2020-10-07,Friday,Fall,Independent,Discovery,Thriller,< 50,18%,61%,"$1,802",$0.03,,$0.03,$15.00,0.20%,"-$1,372.00",-$14.97,$0.02,"$1,800.00"
A Christmas Carol,2020,2020-10-02,Friday,Fall,Disney,Transformation,Animation,> 200,52%,72%,"$8,159",$137.90,$187.43,$325.33,$200.00,162.67%,"$1,342.00",$125.33,$30.10,"$5,200.00"
Nine,2020,2020-10-02,Friday,Fall,Weinstein Co.,Discovery,Drama,50 to 100,37%,40%,"$3,862",$19.67,$34.32,$53.99,$80.00,67.49%,"-$1,659.00",-$26.01,$5.45,"$3,700.00"
Cyrus,2020,2020-10-01,Friday,Fall,Independent,Rivalry,Comedy,< 50,80%,51%,"$45,429",$7.47,$2.45,$9.92,$7.00,141.71%,$582.00,$2.92,$0.18,$800.00
Arthur Christmas,2020,2020-09-30,Friday,Fall,Aardman Animations,Journey and Return,Animation,150 to 200,92%,82%,"$3,537",$46.46,$100.95,$147.41,$150.00,98.27%,-$737.00,-$2.59,$12.07,"$9,200.00"
Cedar Rapids,2020,2020-09-30,Friday,Fall,20th Century Fox,Maturation,Comedy,< 50,86%,61%,"$20,198",$6.86,,$6.86,$10.00,68.60%,$189.00,-$3.14,$0.30,"$8,600.00"
Horrible Bosses,2020,2020-09-30,Friday,Fall,Warner Bros.,Revenge,Comedy,< 50,69%,72%,"$9,310",$117.54,$92.10,$209.64,$35.00,598.97%,"-$1,382.00",$174.64,$28.30,"$6,900.00"
Cirque du Freak: The Vampire's Assistant,2020,2020-09-25,Friday,Fall,Universal,Discovery,Action,< 50,38%,50%,"$2,285",$14.04,$20.32,$34.36,$40.00,85.90%,$284.00,-$5.64,$6.30,"$3,800.00"
The Invention of Lying,2020,2020-09-25,Friday,Fall,Warner Bros.,Love,Comedy,< 50,56%,47%,"$4,117",$18.45,$13.95,$32.40,$18.50,175.14%,"$2,811.00",$13.90,$7.00,"$5,600.00"
Orphan,2020,2020-09-25,Friday,Fall,Warner Bros.,Escape,Horror,< 50,55%,65%,"$4,681",$41.59,$36.74,$78.33,$30.00,261.10%,-$652.00,$48.33,$12.80,"$5,500.00"
The Runaways,2020,2020-09-24,Friday,Fall,Independent,Maturation,Biography,< 50,68%,56%,"$3,300",$3.57,$1.11,$4.68,$10.00,46.80%,"$2,750.00",-$5.32,$0.80,"$6,800.00"
Valentine's Day,2020,2020-09-24,Friday,Fall,Warner Bros.,Love,Comedy,50 to 100,17%,54%,"$15,351",$110.49,$107.08,$217.57,$52.00,418.40%,"$1,175.00",$165.57,$56.20,"$1,700.00"
Greenberg,2020,2020-09-24,Friday,Fall,Independent,Transformation,Comedy,,75%,40%,"$39,384",$4.23,$1.92,$6.15,,,$151.00,,$0.11,"$7,500.00"
